iter	RMSE
0	55471.72124
1	54582.15681
2	54096.28712
3	53604.44794
4	52620.11542
5	52068.11431
6	51382.11343
7	50828.15015
8	50472.61416
9	50114.06267
10	49672.10392
11	49476.79295
12	49123.04812
13	48761.4134
14	48461.18059
15	48142.32552
16	47602.59531
17	47421.34774
18	47164.67601
19	47081.3789
20	46677.7998
21	46592.82542
22	46485.28648
23	46190.38251
24	45973.08834
25	45758.17245
26	45569.66787
27	45382.74175
28	45369.42987
29	45319.29184
30	45301.83283
31	45250.91591
32	45071.4783
33	44914.65357
34	44724.88565
35	44051.23323
36	43728.88795
37	43253.57118
38	43041.94842
39	42825.2433
40	42427.80047
41	42204.69488
42	41833.95643
43	41630.42359
44	41482.88022
45	41344.86869
46	41198.78433
47	41070.34427
48	41046.43267
49	40914.6565
50	40751.04017
51	40329.63083
52	40318.09346
53	40239.32281
54	40216.51728
55	40195.32876
56	40035.49405
57	39986.55964
58	39944.11091
59	39811.92139
60	39797.71723
61	39785.86202
62	39773.03422
63	39726.80526
64	39719.42023
65	39667.38963
66	39651.18626
67	39078.11596
68	39066.98136
69	38956.12647
70	38556.70618
71	38269.20689
72	38050.41643
73	37592.36498
74	37380.23825
75	37374.17993
76	37340.43015
77	37010.81144
78	37006.12612
79	36798.78525
80	36546.55527
81	36250.19543
82	36143.56691
83	36113.50029
84	36096.11331
85	35821.71389
86	35817.82673
87	35727.91476
88	35721.22005
89	35657.79875
90	35597.6292
91	35595.3345
92	35591.06122
93	35397.2755
94	35069.88598
95	34945.80136
96	34881.94474
97	34852.3719
98	34851.36076
99	34749.36066
100	34736.55744
101	34657.8962
102	34469.43411
103	34421.86399
104	34262.5524
105	34262.3376
106	34162.52076
107	34041.85915
108	34019.07157
109	34018.26907
110	33697.41624
111	33690.59832
112	33645.14994
113	33621.55872
114	33606.10961
115	33562.68981
116	33560.14709
117	33558.34465
118	33558.05098
119	33513.67633
120	33509.16433
121	33509.11887
122	33230.83256
123	33218.3331
124	33218.24602
125	33208.42983
126	33034.32276
127	33003.31396
128	32996.00264
129	32983.7696
130	32950.95166
131	32918.8906
132	32900.01646
133	32883.84196
134	32873.39106
135	32867.56454
136	32636.19299
137	32407.42571
138	32334.83207
139	32326.48224
140	32323.0421
141	32286.58492
142	32282.17632
143	32250.07687
144	32239.06648
145	31563.92534
146	31563.68334
147	31561.86063
148	31354.64721
149	31325.63959
150	31316.07611
151	31123.38562
152	30933.972
153	30756.18916
154	30753.20191
155	30410.25958
156	30370.50266
157	30210.25782
158	30057.15514
159	29815.78591
160	29673.99677
161	29549.42482
162	29540.06094
163	29448.18918
164	29425.37858
165	29232.44486
166	29029.50651
167	28943.60445
168	28836.34578
169	28739.6444
170	28631.62767
171	28543.18723
172	28466.75828
173	28436.8588
174	28436.16461
175	28386.68696
176	28386.22121
177	28333.13372
178	28332.75469
179	28285.76079
180	28094.33031
181	28045.31698
182	27999.83305
183	27985.04458
184	27928.82048
185	27889.40211
186	27799.54685
187	27720.15892
188	27662.73872
189	27646.14163
190	27579.64612
191	27328.99667
192	27276.0319
193	27223.48838
194	27004.96833
195	26495.46655
196	26387.79786
197	26310.59712
198	26282.94933
199	26224.05046
200	26192.86702
201	26162.14449
202	26132.83519
203	26059.25645
204	25999.95438
205	25952.63312
206	25890.53174
207	25868.20926
208	25818.97313
209	25804.93289
210	25780.99467
211	25726.84698
212	25688.58351
213	25679.47741
214	25658.33506
215	25654.57835
216	25608.74015
217	25603.16587
218	25548.14739
219	25548.06098
220	25525.78142
221	25486.25252
222	25486.19006
223	25423.2884
224	25353.85642
225	25349.01698
226	25328.70465
227	24897.20012
228	24800.82968
229	24767.24333
230	24371.01081
231	24355.37206
232	24331.97867
233	24304.336
234	24285.47833
235	24264.30052
236	24256.37828
237	24238.8539
238	24216.57261
239	24192.72758
240	24134.34539
241	24116.23989
242	24103.38363
243	24081.66594
244	24065.23531
245	24063.85938
246	23700.67541
247	23683.41823
248	23649.34635
249	23623.99998
250	23612.68443
251	23603.28393
252	23558.63799
253	23522.90148
254	23521.39771
255	23203.43077
256	23160.47886
257	23122.4095
258	23051.51781
259	23010.14412
260	22999.65323
261	22996.57419
262	22988.53119
263	22948.00907
264	22801.21465
265	22764.63338
266	22729.65295
267	22697.68482
268	22688.23821
269	22681.18823
270	22669.55724
271	22653.15987
272	22594.46184
273	22584.89757
274	22568.0432
275	22411.79871
276	22375.91504
277	22341.92894
278	22204.71126
279	22203.23269
280	22171.48717
281	22141.44641
282	22034.68075
283	22034.15153
284	22019.99991
285	22007.88887
286	21979.82459
287	21973.43728
288	21970.82125
289	21970.78857
290	21909.92403
291	21907.25765
292	21905.59925
293	21844.23267
294	21844.19839
295	21841.93438
296	21819.63253
297	21792.15644
298	21727.68249
299	21692.51559
