iter	Passed	Remaining
0	97	29156
1	129	19241
2	167	16542
3	188	13955
4	220	13008
5	246	12072
6	275	11538
7	296	10816
8	318	10306
9	342	9946
10	369	9718
11	394	9478
12	413	9130
13	434	8869
14	464	8833
15	486	8633
16	522	8691
17	542	8496
18	560	8293
19	588	8242
20	614	8160
21	633	8009
22	674	8121
23	705	8109
24	725	7980
25	749	7900
26	779	7884
27	807	7839
28	842	7875
29	875	7877
30	903	7843
31	917	7683
32	935	7567
33	957	7489
34	995	7536
35	1024	7510
36	1057	7518
37	1080	7450
38	1111	7435
39	1133	7370
40	1178	7446
41	1221	7505
42	1267	7577
43	1306	7602
44	1343	7615
45	1367	7548
46	1409	7589
47	1425	7484
48	1451	7435
49	1470	7353
50	1512	7382
51	1552	7405
52	1585	7389
53	1625	7403
54	1645	7330
55	1673	7293
56	1699	7243
57	1733	7233
58	1759	7185
59	1784	7138
60	1799	7050
61	1817	6975
62	1840	6923
63	1888	6962
64	1909	6901
65	1944	6892
66	1961	6821
67	1983	6768
68	2000	6698
69	2035	6689
70	2055	6629
71	2094	6631
72	2137	6647
73	2181	6661
74	2214	6644
75	2245	6619
76	2292	6640
77	2311	6577
78	2330	6518
79	2376	6536
80	2411	6519
81	2428	6456
82	2466	6447
83	2497	6421
84	2536	6417
85	2563	6380
86	2580	6317
87	2602	6269
88	2638	6255
89	2678	6250
90	2719	6246
91	2746	6210
92	2777	6181
93	2794	6125
94	2822	6091
95	2859	6075
96	2877	6023
97	2907	5992
98	2927	5944
99	2955	5911
100	2977	5866
101	3003	5830
102	3042	5820
103	3081	5807
104	3118	5791
105	3137	5741
106	3163	5706
107	3183	5660
108	3208	5621
109	3229	5577
110	3252	5538
111	3301	5541
112	3326	5505
113	3349	5465
114	3392	5456
115	3409	5408
116	3425	5358
117	3443	5310
118	3460	5262
119	3483	5225
120	3500	5178
121	3515	5129
122	3534	5086
123	3553	5043
124	3568	4995
125	3587	4954
126	3615	4925
127	3633	4882
128	3673	4869
129	3691	4826
130	3732	4815
131	3751	4774
132	3771	4735
133	3791	4697
134	3816	4664
135	3849	4641
136	3877	4613
137	3901	4580
138	3920	4541
139	3940	4503
140	3960	4465
141	3983	4432
142	4006	4398
143	4027	4363
144	4050	4329
145	4071	4294
146	4089	4256
147	4132	4244
148	4152	4208
149	4173	4173
150	4192	4137
151	4214	4103
152	4234	4068
153	4256	4035
154	4278	4002
155	4299	3968
156	4321	3936
157	4342	3903
158	4361	3867
159	4381	3833
160	4402	3801
161	4425	3769
162	4446	3737
163	4465	3703
164	4487	3671
165	4508	3639
166	4528	3606
167	4545	3571
168	4568	3541
169	4591	3511
170	4621	3486
171	4643	3455
172	4663	3423
173	4701	3404
174	4730	3378
175	4771	3361
176	4789	3328
177	4819	3303
178	4838	3270
179	4876	3251
180	4919	3234
181	4949	3209
182	4970	3177
183	4989	3145
184	5018	3119
185	5048	3094
186	5067	3062
187	5096	3036
188	5123	3008
189	5151	2982
190	5170	2950
191	5193	2921
192	5212	2890
193	5232	2859
194	5251	2827
195	5271	2797
196	5295	2768
197	5317	2739
198	5345	2713
199	5374	2687
200	5399	2659
201	5437	2638
202	5463	2610
203	5484	2581
204	5508	2552
205	5528	2522
206	5549	2493
207	5571	2464
208	5594	2435
209	5617	2407
210	5644	2380
211	5666	2351
212	5690	2324
213	5727	2301
214	5757	2276
215	5778	2247
216	5798	2217
217	5815	2187
218	5833	2157
219	5848	2126
220	5867	2097
221	5885	2067
222	5899	2036
223	5917	2007
224	5935	1978
225	5951	1948
226	5970	1920
227	5988	1891
228	6022	1867
229	6040	1838
230	6059	1809
231	6089	1784
232	6110	1757
233	6128	1728
234	6148	1700
235	6179	1675
236	6206	1649
237	6226	1621
238	6249	1595
239	6268	1567
240	6291	1540
241	6311	1512
242	6331	1485
243	6349	1457
244	6370	1430
245	6407	1406
246	6425	1378
247	6444	1351
248	6462	1323
249	6481	1296
250	6500	1269
251	6529	1243
252	6553	1217
253	6573	1190
254	6591	1163
255	6632	1140
256	6667	1115
257	6688	1088
258	6715	1063
259	6740	1037
260	6762	1010
261	6787	984
262	6808	957
263	6827	931
264	6873	907
265	6891	880
266	6909	853
267	6927	827
268	6949	800
269	6968	774
270	6987	747
271	7004	721
272	7024	694
273	7045	668
274	7092	644
275	7112	618
276	7130	592
277	7154	566
278	7176	540
279	7192	513
280	7210	487
281	7230	461
282	7250	435
283	7270	409
284	7288	383
285	7305	357
286	7323	331
287	7342	305
288	7369	280
289	7389	254
290	7412	229
291	7442	203
292	7478	178
293	7503	153
294	7518	127
295	7553	102
296	7576	76
297	7594	50
298	7616	25
299	7661	0
