Wilaya,Commune,Zone_Sismique,Policy_Count,Total_Capital,Avg_Vulnerability,Risk_Weighted_Capital,Concentration_Pct
16 - ALGER,99 - ALGER,IIa,447,"40804543615,22","0,31476510067114094","18442597291,836","13,622"
31 - ORAN,1019 - ORAN,IIa,999,"27820147715,22","0,3124924924924925","11727495650,947199","9,288"
19 - SETIF,1182 - SETIF,IIb,1101,"26346995355,34","0,40930063578564946","15384364486,739202","8,796"
25 - CONSTANTINE,513 - CONSTANTINE,0,742,"9662246675,04","0,26563342318059296","2810216234,012","3,226"
16 - ALGER,106 - BEB EZZOUAR,IIa,233,"7679660205,84","0,31287553648068667","2660782505,1024","2,564"
19 - SETIF,1158 - EL EULMA,IIb,2170,"7420811168,0","0,40652534562211984","3158701990,2400002","2,477"
16 - ALGER,147 - ROUIBA,IIa,258,"6125961110,0","0,30930232558139537","2786795295,9599996","2,045"
9 - BLIDA,356 - MOUZAIA,III,10,"5369822177,21","0,61","4288671141,768","1,793"
36 - EL TAREF,623 - EL KALA,0,6,"4907536000,0","0,3","1472260800,0","1,638"
15 - TIZI OUZOU,1503 - TIZI OUZOU,IIa,1186,"4805618603,2","0,30202360876897133","1463207283,96","1,604"
35 - BOUMERDES,471 - TIDJELABINE,I,19,"4256824429,0","0,2210526315789474","1356018806,88","1,421"
16 - ALGER,105 - BARAKI,IIa,334,"4124900702,32","0,34059880239520957","1818881525,9136","1,377"
11 - TAMENRASSET,1315 - TAMANRASSET,III,765,"3844964140,0","0,5005228758169934","1957003600,0","1,284"
12 - TEBESSA,1344 - TEBESSA,III,106,"3476574079,23","0,5613207547169812","2491507848,538","1,161"
35 - BOUMERDES,461 - LARBATACHE,I,23,"3236164400,0","0,23304347826086957","776302880,0","1,08"
29 - MASCARA,786 - MASCARA,I,953,"3006705197,37","0,2000419727177335","601381039,474","1,004"
16 - ALGER,118 - CHERAGA ALGER,IIa,598,"2887511137,0","0,3269899665551839","931269341,1","0,964"
34 - B.B ARRERIDJ,368 - BORDJ BOU ARRERIDJ,IIa,950,"2800127070,0","0,32456842105263156","913561884,6","0,935"
14 - TIARET,1384 - TIARET,IIb,439,"2731204830,6","0,4621412300683371","1370735901,7280002","0,912"
15 - TIZI OUZOU,1504 - TIZI RACHED,IIa,106,"2652197950,0","0,3181132075471698","989519385,0","0,885"
16 - ALGER,119 - DAR EL BEIDA,IIa,387,"2416502970,0","0,3248062015503876","788177691,0","0,807"
16 - ALGER,136 - KOUBA,IIa,432,"2380410343,5","0,31222222222222223","740101809,45","0,795"
13 - TLEMCEN,1560 - TLEMCEN,I,63,"2321655022,16","0,20317460317460317","551018462,5184","0,775"
16 - ALGER,125 - EL BIAR,IIa,116,"2270063670,0","0,31551724137931036","772740606,0","0,758"
16 - ALGER,111 - BIRTOUTA,IIa,313,"2267859369,0","0,3427476038338658","797611477,44","0,757"
26 - MEDEA,838 - MEDEA,IIb,316,"2147329718,2","0,44582278481012655","992703902,336","0,717"
25 - CONSTANTINE,515 - EL KHROUB,0,527,"2083064140,9","0,2660341555977229","614337545,225","0,695"
9 - BLIDA,342 - BLIDA,III,494,"2075126220,0","0,5248987854251013","1168112110,0","0,693"
5 - BATNA,174 - BATNA,IIa,622,"1993948559,08","0,30009646302250803","598304567,724","0,666"
15 - TIZI OUZOU,1498 - TIGZIRT,IIa,335,"1912350321,0","0,30107462686567166","600658982,28","0,638"
35 - BOUMERDES,450 - BOUMERDES,I,223,"1858125388,0","0,20860986547085203","419288677,6","0,62"
16 - ALGER,109 - BIR KHADEM,IIa,390,"1776120954,01","0,33215384615384613","581179486,2036","0,593"
36 - EL TAREF,614 - BESBES EL TARF,0,1,"1640833620,49","0,4","656333448,1960001","0,548"
18 - JIJEL,710 - TAHER,IIa,797,"1627693720,0","0,3000752823086575","489388116,0","0,543"
16 - ALGER,102 - BABA HASSEN,IIa,260,"1603610640,0","0,3369230769230769","540876432,0","0,535"
35 - BOUMERDES,465 - OULED MOUSSA,I,219,"1586162000,0","0,23342465753424657","386777160,0","0,53"
6 - BEJAIA,260 - BEJAIA,IIb,466,"1550602181,95","0,4116738197424893","632776872,78","0,518"
35 - BOUMERDES,459 - KHEMIS EL KHECHNA,I,93,"1509726650,0","0,23526881720430107","439888970,00000006","0,504"
15 - TIZI OUZOU,1466 - BOGHNI,IIa,453,"1467846970,0","0,3010596026490066","441104091,0","0,49"
16 - ALGER,122 - DOUERA,IIa,216,"1458514406,25","0,3397222222222222","494496722,25","0,487"
43 - MILA,884 - HAMALA,IIa,4,"1434020000,0","0,345","516210000,0","0,479"
23 - ANNABA,156 - ANNABA,IIb,431,"1425740060,0","0,4322969837587007","605732024,0","0,476"
31 - ORAN,1003 - BIR EL DJIR,IIa,464,"1375383670,0","0,30982758620689654","420928101,0","0,459"
27 - MOSTAGANEM,918 - MOSTAGANEM,I,248,"1367273082,0","0,2059677419354839","301337576,08","0,456"
